pax	PABGS
Rangoon	RAPB/TKPWAOPB
handbag	HAPBD/PWAG
Hurt	H*URT
cupidity	KWAOU/PEUD/TEU, KAOUP/EUD/TEU, KWAOUP/EUD/TEU
from a	TPRA*
mahi-mahi	PHA/HEU/PHA/HEU
Marimekko	PHAER/PHEBG/KOE
playpen	PHRAEU/PEPB
Pardner	PARD/TPHER
{^phile}	TPAO*EUL
schistosomiases	SKEUS/TO/PHAOEUS/EUS
retrograde	RET/ROE/TKPWRAEUD, RERT/TKPWRAEUD
reflog	R*EF/HROG
Thucydides	THAOU/SEUD/TKAOES, THAOU/SEUD/TKES
posse	POS/SAEU, POS/SE, POS/KWREU, POS/SAOE, POS/SKWRE
metacarpals	PHO*EUT/KARP/ALS
radiated	RAEUD/KWRAEUT/-D
hitter	HEUT/ER, HEUT/*ER
calculable	KALG/-BL
raft	RAFT
hypocritical	HEUP/KREUT/K-L
tracts	TRABGTS, TRABGT/-S
raffles	RAFL/-S
singles	SEUPBG/*LS, SEUPBG/-LS
CAPTCHA	KPAFP
thermonuclear	THERPL/TPHAOU/KHRAOER, THERPL/TPHAOU/KHRAOE/KWRAR, THERPL/TPHAOUBG/HRAOE/KWRAR, THERPL/TPHAOUBG/HRAOER, THERPL/TPHAOU/KHRAR, THERPL/TPHAOUBG/HRAR
solicitors	SHREUS/TORS
isopropyl	AOEUS/PROEP/*L, AOEUS/PROP/*L
originals	ORPBLG/-S, ORPBLGS
TypeScript	TAOEUP/SKR*EUPT
scarfs	SKAR/-FS
purchased	PR-FPDZ, PR-FPLD, PR-FP/-D, PR-FPD, PUR/-D, PUFPD
stop watching	STOP/WAFP/-G
blog	PWHROG
Mel Brooks	PHEL/PWRAOBGS
Keppra	KEP/RA
an animated	APB/APB/PHAEUT/-D
tardiness	TARD/TKEU/*PBS, TARD/*PBS, TARD/EU/TPHES, TAR/TKEU/*PBS, TARD/-PBS, TARD/*EUPS, TARD/*EUPBS
myriad	PHAOER/KWRAD, PHEUR/KWRAD
great deal	TKPWRAEL
Nabokov	TPHAB/KOF
Univers	AOUPB/SR*ERS
retroflex	RET/RO/TPHREBGS
{^ticity}	TEUS/TEU, TEUFT
asparagine	AS/PAR/SKWRAOEUPB, A/A/SPAR/SKWREUPB/AOEUPB, A/SPAR/SKWRAOEUPB, A/PAR/SKWRAOEUPB, A/SPAOEUR/SKWRAOEUPB, A/SPAEUR/SKWRAOEUPB
waivered	WAEUFRD, WAEUFR/-D
sashimi	SA/SHEU/PHEU
abracadabra	AB/PWRA/KA/TKA/PWRA, AB/RA/KA/TKAB/RA, AB/PWRA/KA/TKAB/RA, AB/KA/TKAB/RA
gravitate	TKPWRAF/TAEUT, TKPWRA*F/TAEUT, TPWRAF/TAEUT
daffiest	TKAF/KWR*ES
Rossi	ROS/SEU
corrosive	KROE/S*EUF, KROES/*EUF, KOR/ROE/S*EUF, KOR/ROES/*EUF, KROES/EUF
lymphoid	HREUFPL/OED, HROEUFPL/OEUD, HREUFPL/OEUD
smoulder	SPHOULD/*ER
frill	TPREUL
reciprocate	SEUP/KAEUT, RE/SEUP/ROE/KAEUT, RAOE/SEUP/KAEUT, RE/SEUP/KAEUT, RE/SEUP/RO/KAEUT, RE/SEURP/KAEUT
Belladonna	PW*EL/HRA/TKOPB/TPHA
decree	TKE/KRAOE, TKAOE/KRAOE
repository	ROPT, RE/POZ/TOER, RE/POS/TOEUR, ROEURPT, RE/POS/TOER, RE/POS/TREU, RE/POZ/TOEUR, RAOE/POS/TREU, RE/PES/TOER
Richards	REUFPDZ, REUFP/ARDZ
allergist	AL/HRER/SKWR*EUS, AL/ER/SKWR*EUS, AL/ERPBLG/*EUS, AL/ERPBLG/EUFT, AL/*ER/SKWREUFT
booklet	PWAOBG/HR*ET, PWAOBG/HRET
verge	SRERPBLG
specialists	SPERBL/*EUFTS, SPERBL/EUFTS, SPERBL/EUFT/-S
macaque	PHA/KABG
I recall	EURL
adhesant	A*D/HAOES/APBT
unsightly	UPB/SAOEUT/HREU
formed	TPOPL/-D, TPORPLD
policewomen	PHREUS/WOPL/PHEPB, PO/HRAOES/WOPL/PHEPB, PWHREPL, PHREUS/WEUPL, PO/HRAOES/WEUPL, PO/HRAOES/WOPL/-PB, PHREUPL, PHREUS/WOPL/-PB
senate	STPHAT, SEPB/TPHAT
prephthisical	PRE/TEUS/KAL
hydrate	HAOEURD/A*T, HAOEU/TKRAEUT, HAOEUD/RAEUT, HAOEURT, HAOEUD/TKRAEUT
underlines	UPBD/HRAOEUPB/-S, UPBLD/HRAOEUPBS
mandates	PHAPB/TKAEUTS
container	KAUPB/TAUPB/*ER, KAUPB/TEURPB, KAUPB/TAEUPB/*ER, KAUPB/TAEURPBT, KAUPB/TAEURPB
paternity	PA/TERPBT, PA/TERPB/TEU
prohibitive	PROEUBT/EUF, PROEUBT/T*EUF, PRO/HEUB/TEUF, PRO/HEUBT/T*EUF, PROE/HEUB/TEUF, PRO/HEUB/T*EUF, PREUB/TEUF, PROEUB/T*EUF, PROE/HEUBT/TEUF
keratinocytes	KER/TEUPB/KRAOEUTS
hypermedia	HAOEU/PER/PHAOED/KWRA
rubbing	RUB/-G, RUBG
begs	PWEGS
solemnly	SOL/EPL/HREU
sidling	SAOEUD/HREUPBG
bisphosph	PWEUS/TPOS/TPO
grackle	TKPWRABG/*L
Google Docs	TKPWAOLG/TKOBGS
that you	A/U, THAU
redeeming	RAOE/TKAOEPLG, RE/TKAOEPL/-G
{^-stage}	STA*EUPBLG
referring	RAOEFRG, REFRG, REFG, RE/TPERG, REFR/-G
versace	SRER/AFP/KHAOE, SRER/SAFP/KHAOE, SRER/SAFP/KWREU
when had	WH-D
fashioning	TPAGS/-G
Betz cells	PWETS/KRELS
ephedrine	AOE/TPED/RAOEUPB, AOE/TPED/REUPB
physicians	TPEUS/EUGS/-S, TP*EUFGS/-S, TP*EUG/-S, TP-GS/-S, TP*UGS/-S, TP*EUGS/-S
refracting	TPRAEF/-G
wastage	WAES/TAPBLG, WA*ES/APBLG
Shrek	SHR*EBG
compensates	KPEPB/SAEUTS
scouts	SKOUTS, SKOUT/-S
deflect	TKE/TPHREBGT
ramp	RA*PL, RAPL/*P, RAPL/-P, RA*FPL, RAFRP
ideation	EUD/KWRAEUGS, AOEUD/KWRAEUGS
for tuning	TPOR/TAOUPB/-G
input	EUPB/PUT, TPH*PT
owl	OUL
rotenone	ROET/TPHOEPB
chiefly	KHAOEFL
rankling	RAPB/K-LG, RA*PBG/-LG
reproachful	RAOE/PROEFP/TPUL, RE/PROEFP/-FL
jazz	SKWRAZ
Teleview	T*EL/SRAOU
conscribe	KOPB/SKRAOEUB
reselling	RAOE/SELG, RE/SEL/-G
facta	TPABG/TA
Millikan	PH*EUL/KA*PB
shimmering	SHEUPL/ER/-G
oxides	OBGS/AOEUDZ, OBG/SAOEUDZ
crisply	KREUS/PHREU
suspiciously	SUS/PEURBS/HREU
concave	KAUPB/KAEF, KAUPB/KAF, KOPB/KA*EUF
separable	SEP/RABL, SEP/PRABL, SERP/-BL, SERPL
bloodthirsty	PWHRAOD/THREUFT/KWREU, PWHRAOD/THEURS/TEU, PWHRAOD/THEUFRT/KWREU
catalogues	KAT/HROGS
straightforward	SRAOD, STRAEUGT/TPO*R/WARD, SAO*D, STRAEURT/TPAORD, STRAORLD, STRAORD, STAO*D, STRAEUGT/TPOR/WARD, STRAEUT/TPAORD, STRAEUT/TPAO*RD, STRAO*D, STRAEUGT/TPWARD, STRAOD
petrochemical	PET/RO/KEPL/KAL, PET/RO/KHEPL/KAL, PET/ROE/KHEBG/K-L
hamster	HAPL/STER, HA*PLS/ER, HAPLS/TER
universally unique identifier	KWRAO*UD/KWRAO*UD
splendidly	SPHREPBD/EUD/HREU, SPHREPBD/TKHREU
ishkhans	EURB/KA*PB/-S
rusty	RUS/TEU, RUFT/KWREU, R*US/TEU
Blart	PWHRART
Dr. Phil	TKR*FPLT/TP*EUL
lazier	HRAEUZ/KWRER
{osteo^}	OFT/SKWRO, OS/TAOE/KWROE, OFT/KWROE, OFT/KWRO
bifida	PWEUFD/KWRA, PWEUFD/SKWRA, PWEUF/TKA
telling you	TEL/UG
eleven	HREFPB
kinesis	KEU/TPHAOE/SEUS, KAOEU/TPHAOE/SEUS
deceleration	TKE/SEL/RAEUGS, TKHRERGS, TKAOE/SEL/RAEUGS
pegs	PEGS, PEG/-S
Doug	TKO*UG, TK*UG, TKOUG, TKUG/TKUG
sassafras	SAS/TPRAS
cobble	KOB/-L, KOBL, KOB/-BL
rediscover	RE/SKOFR
magnetize	PHAG/TAOEUZ, PHAG/TPHE/TAOEUZ
roughneck	RUF/TPHEBG
standard deviations	ST*DZ
shinily	SHAOEUPB/HREU
Caspian Sea	KAFP/KWRAPB/SAE
scanned	SKAPB/-D, SKAPBD
hoggier	HOG/KWRER
jolly	SKWROL/HREU, SKWROL/KWREU
raid	RAEUD
bereavement	PWE/RAO*EFPLT, PWE/RAOEF/*PLT, PWRAO*EFPLT, PWRAOEFPLT
lovable	HR*UFBL, HROFBL, HR*UF/-BL, HRO*F/-BL, HRO*FBL
icicles	AOEU/SEUBG/-LS, AOEUS/K*L, AOEUS/EUBG/-LS, AOEUS/SEUBG/-LS
Jim Crow	SKWREUPL/KROE, SKWR*EUPL/KROE
suprachiasmatic	SAOUP/KAS/PHAT/EUBG, SAOUP/KAOEU/AS/PHAT/EUBG
psoas	SOE/KWRAS, SO/SKWRAS, SOE/AS
jilted	SKWREULT/ED
speckle	SPEBG/*L, SPEBG/-L
closeup	KHRO*UP
good for you	TKPWAOD/TPOUR
brawling	PWRAULG
recreational	RE/KRAOEGS/KWRA*L, REBG/KRAOEGS/AL, RE/KRAOEGS/A*L
insecticide	EUPB/SEBGT/SAO*EUD, EUPB/SEBGT/SAOEUD
tenderize	TEPBD/RAOEUZ, TEPB/TKRAOEUZ, TEPBD/RAO*EUZ
wriggles	WREUG/-LS
baffling	PWRAFL/-G
gawd	TKPWAUD
lumbricals	HRUPL/PWREUBG/ALS
innervating	EUPB/*ER/SRAEUT/-G, TPHEFB/A*T/-G
jawbreaker	SKWRAU/PWRAEBG/*ER
demonstrative	TKEPL/PHOPB/STRAT/*EUF, TKE/PHOPB/STRA/T*EUF, TKPHOPBS/TRA/T*EUF, TKEPL/STRAT/EUF, TKEPL/OPB/STRAT/EUF, TKE/PHOPBS/TRAT/EUF, TKREPL/STRAT/EUF, TKEPL/PHOPB/STRA/T*EUF, TKE/PHOPBS/TRA/T*EUF, TKPHOPB/STRAEUT/EUF, TKPHOPB/STRAT/*EUF, TKPHOPB/STRA/T*EUF, TKEPL/STRAET/EUF, TKE/PHOPB/STRAT/*EUF
wiggling	WEUG/-LG, WEUG/HREUPBG
fortuitous	TPOR/TAOUT/OUS, TPAUR/TAOUT/TOUS, TPAUR/TAOU/TUS, TPAUR/TAOUT/OUS, TPOR/TAOU/TOUS
postcard	PO*ES/KARD, POFT/KARD, POEFT/KARD
just in	STKPWHRUFT
sternum	STERPB/UPL, STERPL, STER/TPHUPL
malo animo	PHAL/HROE/APB/PHOE, PHA/HROE/APB/PHOE
dykes	TKAOEUBGS
dependents	TKPEPBD/TKEPBTS
brings	PWREUS
intercessors	EUPBT/*ER/SES/O*R/-S
hurry	HUR/KWRU, HUR/REU, RUR/KWREU, HUR/KWREU
Vikram	SREUBG/RAPL
Mazel Tov	PHAZ/EL/TOF, PHAZ/*L/TOF
will{,}	HR-RBGS
examiner	KP-RPL, KPER, KP-PL/ER, EBGS/APL/PHEUPB/ER, KPAPL/TPHER, EBGS/APL/TPHER, EBG/SAPL/TPHER, KP-PL/TPHER, KPAPL/PHEUPB/ER
whiskered	WHEUS/KER/-D
celibate	SEL/PWA*T, S*EL/PWAT, SEL/PWAT
hoar	HAOR
foreshortening	TPOER/SHORT/TPHEUPBG
he knows	H*EPBS
obtainable	OB/TAEUPB/-BL, OB/TAEUPB/ABL
academic	ABG/TK*EBG, ABG/TKEPL/EUBG, TKPHEUBG, ABG/TKEPL/PHEUBG, ABG/TKEP/EUBG, ABG/TKEBG
ad libitum	A*D/HREUB/TUPL, AD/HREUB/TUPL, AD/HREUB/TAOUPL
chelation	KHEL/AEUGS, KHAOEL/AEUGS, KHE/HRAEUGS
pastille	PAS/TAOEL
salesladies'	SAELS/HRAEUD/KWREUS/AE
University of France	AOUFRT/-F/TPRAPBS
Gaza Strip	TKPWA/SA*/STREUP
Salt Lake City	SALT/HRAEUBG/SEUT/TEU, SALT/HRAEUBG/STEU, SAULT/HRAEUBG/SEUT/TEU, SAULT/HRAEUBG/STEU
sirloin	SEUR/HROEUPB
caduceus	KA/TKAOUS/SKWRUS
Mitchell	PHEUFP/KHEL, PHEUFP/EL
afoot	A/TPAOT
remission	RE/PHEUGS, RAOE/PHEUGS
sander	SAPB/TKER, SAPBD/*ER
enalapril	EPB/HRA/PREUL, EPB/AL/PREUL, AOE/TPHAL/PREUL
initiation	EUPB/TPHEURB/KWRAEUGS, TPHEURBGS, TPHEURB/SHAEUGS, TPHEURB/KWRAEUGS, EUPB/EURB/KWRAEUGS, TPH*EURB/KWRAEUGS, EUPB/EURB/SHAEUGS
smooshed	SPHURBD
mongolism	PHOPB/TKPWO/HREUFPL, PHOPBG/HREUFPL, PHOPB/TKPWOE/HREUFPL, PHOPB/TKPWHREUFPL
hedge	HEPBLG, HEPBL
metrical	PHERT/K-L
stumping	STUPL/-PG
escalate	ES/KA/HRAEUT, EBGS/KA/HRAEUT, ES/KHRAEUT
badonkadonk	PWA/TKO*PBG/KA/TKO*PBG, PWA/TKO*PBG/A/TKO*PBG, PWA/TO*PBG/KA/TKO*PBG
DiPiro	TKEU/PEU/RO, TKEU/PEUR/SKWRO, TKE/PEUR/SKWRO, PEUR/SKWRO, TK*EU/PEUR/SKWRO
cholestipol	KHREFT/POL
microphotograph	PHAOEU/KROE/TPRAF
marbles	PHAR/-BLS
unstated	UPB/STAEUT/-D
gardened	TKPWAR/TKEPB/-D, TKPWARD/-PB/-D, TKPWARD/-PBD
tranquilized	TRAPB/KWEUL/AOEUZ/-D
manhole	PHAPB/HOEL
Superior Court	SPRO*URT
creamy	KRAOEPL/PH*EU, KRAOE/PH*EU
Baskin Robbins	PWAFBG/*EUPB/ROB/*EUPB/-S
equivalency	KWEUFL/EPB/SEU, KWEUFL/EPBS/KWREU, AOE/KWEUF/HREPB/SEU, AOE/KWEUFL/EPBS/KWREU, KREUFL/EPBS/KWREU, AOE/KW*EUF/HREPB/SEU
Henniker	H*EPB/KER
sabbatical	SPWAT/KAL, SPWAT/K-L, SA/PWA*T/K-L, SA/PWAT/KAL, SAB/PWAT/KAL, SA/PWAT/K-L
rhapsody	RAPS/TKEU
return	RURPB
crack	KRABG
co	KO*
cherish	KHER/EURB
sermorelin	SERPL/REL
askew	AS/SKAOU, AS/KAOU, A/SKAOU
roundness	ROUPBD/-PBS
head-mounted display	H*PLD
totality	TOE/TALT, TOET/ALT, TALT, TOELT/TEU, TOE/TAL/TEU
squeezing	SKWAOEDZ/-G, SKWAOEZ/-G
silliness	SEUL/-PBS, SEUL/EU/TPHES, SEUL/HREU/*PBS
hovers	HOFRS, HO*F/ERS
bang	PWAPBG
debatable	TKE/PWAEUT/-BL, TKPWAEUT/-BL
crunch	KRUFRPB, KRUPB/*FP, KRUFRPBLG
quarters	KWART/ERS, KWAURT/*ER/-S, KWRARTS
dissipation	TKEUSZ/PAEUGS, TKEUS/SEU/PAEUGS, TKEUS/PAEUGS
bartending	PWAR/TEPBD/-G
assumptive	A/SUPLT/EUF
pointed	POEUPBT/-D, POEUPBTD, POEUPTD
Wayback Machine	WAEU/PWA*BG/PH-PB
grudge	TKPWRUPBLG
corrections	KREBGS/-S
cervicospinal	SEFRB/KO/SPAOEUPBL
marbleization	PHARB/HREU/SA*EUGS, PHARBL/HREU/SA*EUGS, PHARB/HRAOEU/SA*EUGS
AP	A*EP
Tokugawa	TO/KU/TKPWA/WA
brunescent	PWRAOUPB/ES/EPBT
loam	HROEPL
boffin	PWOF/*EUPB, PWOFPB
aria	AR/KWRA, AR/RAOE/KWRA
yachting	SKWRAT/-G
CSS Ninja	KR*S/TPHEUPB/SKWRA
yogi	KWROE/TKPWAOE
nitpicking	TPH*EUT/PEUBG/-G, TPHEUT/PEUBG/-G
tampered	TAPL/PERD, TAPL/PER/-D
foreseeability	TPOER/SAOEBLT
cacciatore	KAFP/TOR/REU, KAFP/TOR/RAOE, KAFP/TOER/REU, KAFP/TOEUR
explanation	EBGS/PHRAPBGS, SHRAPBGS, SHRAEUPBGS, SPHRAPBGS, EBGS/PHRAPB/TPHAEUGS, EBGS/PHRA/TPHAEUGS, SPHRAEUPBGS
executives	EBGS/EBGT/T*EUFS, KPEBGT/*EUFS, EBGS/EBG/T*EUFS, KPEBG/T*EUFS, EBGS/EBGT/*EUFS, SKAOUFS, SKAOUTS, KPEBGT/T*EUFS
cytochrome P450	KRO*EUP, PRO*EUP
sophistication	STP*EUS/KAEUGS, SOE/TPEUS/TEU/KAEUGS, STPEUFT/KAEUGS, STPEUS/TEU/KAEUGS, SOE/TP*EUS/KAEUGS, SO/TPEUS/TEU/KAEUGS, SO/TP*EUS/KAEUGS
general manager	SKWR-PLG
requital	RE/KWAOEU/TAL
Pollione	POL/KWROE/TPHE
Code Pink	KOEUD/P*EUPBG, KOED/P*EUPBG
hydrolyzing	HAOEURD/HRAOEUZ/-G
Schermerhorn	SHERPL/*ER/HORPB
Othello	O/THEL/HROE, OE/THEL/HROE, OE/TH*EL/HROE
griseofulvin	TKPWREUS/KWROE/TPUL/SREUPB, TKPWREUS/KWRO/TPUL/SREUPB
how much of	SHOUFP
endocrinoid	EPBD/KREUPB/OEUD
dealer	TKAOERL, TKAOEL/*ER, TKAOELG/*ER
Frederick	TPRED/REUBG
clinical	KHREUPB/K-L, KHREUPB/EUBG/KAL, KHRAO*EPBG/K-L, KHR*EUL, KHREUPB/KAL, KHREUPBL
proxima	PROBGS/PHA
connective	KEBGT/T*EUF, KOPB/TPHEBG/T*EUF, KEBG/T*EUF
sublimity	SUB/HREUPL/TEU
promenades	PROPL/TPHAUDZ, PROPL/TPHAEUDZ
untruths	UPB/TRAO*UTS, UPB/TRAO*UT/-S
forefront	TPAUR/TPROPBT, TPOER/TPROPBT
algebraic	AL/SKWRE/PWRAEUBG, ALG/PWRAEUBG
Ursa	URS/KWRA
comma	KOPL/PHA, KPHA
grody	TKPWROED/KWREU
appointed	A/POEUPBT/-D, POEUPBD
Bactroban	PWARBGT/PWAPB, PWABG/TRO/PWAPB
collectibility	KOL/HREBGT/-BLT, KHREBGT/-BLT
Graham	TKPWRA*PL
unscrew	UPB/SKRAOU
skippers	SKEUP/ERS, SKEUP/*ERS
Emancipation Proclamation	AOE/PHAPBS/PAEUGS/PRA/KHRA/PHAEUGS
each other	AOEFP/TOER
San Marzano	SAPB/PHARTS/APB/TPHOE, SAPB/PHARTS/APB/OE
multipolygon	PHULT/POL/TKPWOPB
fattening	TPAT/-PBG, TPAT/-PB/-G, TPAT/*EPB/-G
curiously	KAOUR/KWRUS/HREU, KAOUR/SHREU, KAOURS/HREU, KAOURLS
Mercer	PHER/SER
of a	AEUF
deteriorate	TKAOE/TAOER/KWRAEUT, TAOER/KWROR/RAEUT, TKE/TAOER/RAEUT, TKE/TAOER/KWRAEUT, TAOER/KWRAEUT, TKE/TER/KWRAEUT, TKE/TAOER/KWRO/RAEUT, TKE/TAOER/KWROE/RAEUT, TKE/TER/KWRORT, TKRAOER/RAEUT, TKE/TAOER/KWROR/RAEUT
Judgment Day	SKWRUPLT/TKAEU
wrongfully	WROPBG/TPHREU
perspective	P*EF, PER/SPEBGS/EUF, PEBGT/EUF, PEF, PERS/PEBGT/EUF, PER/SPEBG/TEUF, PER/SPEBG/EUF, PER/SPEBGT/*EUF, PER/SPEBG/T*EUF, PER/SPEBGT/EUF, PERS/SPEBGT/EUF, PER/SPEBGT/TEUF
nitrosourea	TPHAOEURT/AOUR/KWRA, TPHAOEURT/SOUR/KWRA
awakened	A/WAEUBG/-PBD, A/WAEUBG/EPBD
cheekily	KHAOEBG/HREU
rules	RAOUL/-S, RAOULS, RAOEUL/-S
nonallergenic	TPHAUPB/EL/*ER/SKWREPB/EUBG
{^lated}	HRAEUT/-D
Jews	SKWRAOUZ, SKWRAOU/-S
injuries	SKWR*EURS, SKWR-R/EUS, SKWR-R/KWREUS, SKWR*RS
loot	HRAOT
automatics	AUT/PHAT/EUBGS
benchmark	PWEPB/-FP/PHARBG, PWEFRPBLG/PHARBG, PWEFRPB/PHARBG, PWEFRPB/PHA*RBG
MedSted	PHED/STED
calcitonin	KALS/TOEPB/*EUPB, KALS/TOEPB/*EUP
canape	KAPB/KWRA/PAEU, KA/TPHA/PAEU, KAPB/PAOE
imagined	PHAPBLGD
execution	KPE/KAOUGS, EBGS/KAOUGS, SKAOUGS
bound to	TPWOUPBD
Chandra	KHAPB/TKRA, KHAPBD/RA
Shea Stadium	SHAEU/STAEUD/KWRUPL
was	WA, -FS, WASZ, WAS, WUZ, KWAS, WAGS, WAZ
elemental	EL/-PLT/TAL, HR-PLT/AL, EL/HREPLT/TAL, HR-PLT/TAL
greenhorn	TKPWRAOEPB/HORPB
varium	SRAEUR/KWRUPL
{^™}	TR*PL
Pontchartrain	POFRPB/TRAEUPB
uphold	UP/HOLD
intolerant	SPWOL/ERPBT, EUPB/TOL/RAT, SPWOL/RAPBT, EUPB/TOL/RAPBT
percent	PER/SEPBT, PER/SEPBLT, PERS/EPBT, PERS, PER/KREPBT, PWERS
shimmered	SHEUPL/ER/-D
a macrolide	AEU/PHRAERBG/HRAOEUD
Century	KR*EPBT/REU, KR*EPBT
initial rate	TPHEURBL/WRAEUT
Cornelia	KOR/TPHAOEL/KWRA
full of	TPUFL
cranked	KRAPB/-BGD
I can't have had	KWRAFD
urinalyses	KWRAOUR/EUPB/TPHAL/SAOEZ, KWRAOURPB/AL/SAOEZ, KWRAOURPBL/SAOEZ, KWRAOU/REUPB/TPHAL/SAOEZ, KWRAOU/REUPB/AL/SAOEZ, KWRAOUR/EUPB/AL/SAOEZ, KWRAOUR/TPHAL/SAOEZ, KWRAOURPB/TPHAL/SAOEZ
shatter	SHAT/ER, SHAERT, SHAT/TER, SHAT/*ER
tat	TAT
uncontested	UPB/KOPB/TEFT/-D
cremasteric	KREPL/STER/EUBG, KREPL/STERBG
protasis	PROET/SEUS
wintering	WEUPBT/ER/-G, WEUPBT/ERG, WEUPB/TER/-G
satirist	SAT/REUFT, SAT/R*EUS
reliquary	REL/KWAER, REL/EUBG/WAER
Thompkin	THOPL/KEUPB
Borg	PWO*RG
Imperia	EUPL/PAOER/KWRA
participated	PA*EUTD, PARTS/PAEUT/-D
embolytic	EPL/PWHREUT/EUBG
free-floating	TPRAOE/TPHROET/-G
disclaiming	TKEUS/KHRAEUPLG, TKEUS/KHRAEUPL/-G
derided	TKRAOEUD/-D
gossiping	TKPWOS/EUP/-G, TKPWOS/EUPG
hitched	HEUFPD
northwesterly	TPHO*RT/W*ES/ER/HREU, TPHORT/WERL, TPWH*ERL, TPHO*RT/WES/TER/HREU
wand	WAPBD, WA*PBD
various	SRAEURBS, SRAR/KWROS, SRAEURS, SRAEUR/KWRUS, SRAEUR/KWROUS, SRAR/KWROUS, SRARS/KWRUS, SRAR/KWRUS
conduction	KAUPB/TKUBGS, KUBGS, KOPB/TK*UBGS, K*UBGS
Las Cruces	HRAS/KRAOUS/ES, HRAS/KRAOUS/-S
conjunctives	KOPB/SKWRUBG/T*EUFS, KOPB/SKWRUBGT/*EUFS
Lear	HRA*ER
Guatemala City	TKPWAUT/PHA/HRA/STEU, TKPWAUT/PHAL/HRA/STEU
reinforce	RAOE/EUPB/TPORS, RAOEPB/TPORS
quarterlies	KWAURT/*ER/HREUS, KWART/ER/HREUS
irk	EURBG
intra-abdominal	EURPBT/AB/TKOPL/TPHAL, EURPBT/TKPHAL
the catwalk	-T/KAT/WAUBG
{^.mil}	P-P/PHEUL
recoil	RE/KOEUL
splay	SPHRAEU
glue	TKPWHRAOU, TKPWHRU
freshly	TPRERBL, TPRERB/HREU
virtuosity	SREURT/WOS/TEU, SREURT/WOFT
transcriptions	TRAPBS/KREUPGS/-S
hyalomere	HAOEU/HRO/PHAOER
agitans	APBLG/TAPBS
limping	HREUPL/P-G, HREUPL/-PG
sequestrant	SE/KWE/STRAPBT, SE/SKWEFT/RAPBT
evangelistic	AOE/SRAPBG/HREUS/TEUBG
Church of England	KHUFRPB/-F/EPBG/HRAPBD, KHUFRPB/-F/TKPWHRAEPBD, KHUFRPB/-F/EPBG/HRAPD
rainforest	RAEUPB/TPAUR/EFT, RAEUPB/TPOR/EFT
nurtured	TPHUR/KHURD
sesame	SE/SA/PHAOE, SES/PHAOE, SES/SA/PHAOE
embellishments	EPL/PWEL/SH-PLTS
struggle	STRUG/*L, STRULG, STRUG/-L, TRUG/*L, STR*ULG, SKRUG/*L
rezoning	RE/SO*EPB/-G, RAOE/SO*EPBG
abort	PWORT, A/PWORT
Louis Comfort Tiffany	HRAO*US/K-FRT/TEUF/TPHEU
vivant	SREUF/APBT
debar	TKE/PWAR
refinement	RE/TPAOEUPLT
bullish	PWUL/HREURB
corticoid	KORT/KO*EUD, KORT/KOEUD, KORT/KOED
charlton	KHARL/TO*PB
fantasize	TPAPBT/SAOEUZ
mixtures	PHEUBGS/TUR/-S, PHEUBGS/KHURS, PHEUBGS/TAOURS
thereof	THR-F, THROF, THR/*F
honkey	HO*PBG/KAOE, HOPB/KAOE
meager	PHAOEG/ER, PHAOE/TKPWER, PHAOEG/*ER
drawbridge	TKRAU/PWREUPBLG
cefepime	SEF/PAOEUPL, SEF/PAOEPL, KREF/PAOEUPL
desirables	TKE/SAOEUR/-BLS
sanity	SAPBT, SAPB/TEU
bedlam	PWED/HRAPL
favorably	TPA*EUF/SROR/PWHREU, TPA*EUFR/PWHREU, TPAEUFR/PWHREU, TPAEUF/PWHREU, TPAEU/SROR/PWHREU
Twilio	TWEUL/KWROE
acylation	AS/HRAEUGS
ninety-six	TPHAOEUPBT/SEUBGS
bilking	PWEUL/K-G
allegorize	AL/TKPWOR/AOEUZ
everyone can	KEFRPB
guaranty	TKPWARPB/TEU
income taxation	TPH*T/AEUBGS
Gemcitabine --	TKPWEPL
hoisting	HOEUFT/-G
produce	PROU, PRO/TKAOUS, PROE/TKAOUS
correct{?}	STKPHREBGT
Ted	T*ED, TED
alba	AL/PWA
statesman	STAEUT/-S/PHAPB, STAEUTS/PHAPB
rewiring	RE/WAOEUR/-G, RAOE/WAOEURG
exaltation	KPAL/TAEUGS, KPAUL/TAEUGS, EBGS/AL/TAEUGS, EBGS/AUL/TAEUGS
RSS	R-SZ
singalongs	SEUPBG/A/HROPBG/-S
Martindale-Hubbell	PHART/TKAEUL/HUB/EL, PHAR/TEUPB/TKAEUL/HUBL, PHAR/TEUPB/TKAEUL/HUB/EL, PHAR/TEUPB/TKAEUL/HUB/PWEL, PHART/TKAEUL/HUBL, PHART/TKAEUL/HUB/PWEL
changed	KHAEUPG/-D, KHAEUPB/-PBLGD, KHAEUPBGD, KHAEUPBGSD, KHAEPBGD, KHAEUPBG/-D/-D, KHAEUPBG/-S/-D
Ipanema	EUP/TPHAOEPL/PHA
encampment	EPB/KAPL/P-PLT
rave	RAF, RAEUF, RA*EUF
GPS	TKPW-PS
plainly	PHRAEUPBL, PWHRAEUPB/HREU
high-end gentrification	HAOEU/EPBD/SKWRERPBT/TPAEUBGS
hanky-panky	HA*PBG/KEU/H-F/PA*PBG/KEU, HA*PBG/KEU/PA*PBG/KEU, HA*PBG/KWREU/PA*PBG/KWREU, HAPB/KEU/PAPB/KEU, HAPB/KEU/H-F/PAPB/KEU
